경력,연봉,기업수
신입,2400~2600,23
신입,2600~2800,37
신입,2800~3000,21
신입,3000~3200,42
신입,3200~3400,33
신입,3400~3600,10
신입,3600~3800,10
신입,3800~4000,11
신입,4000~5000,5
신입,5000~6000,13
신입,6000~7000,2
신입,7000~8000,0
신입,8000~,3
6개월,2400~2600,24
6개월,2600~2800,39
6개월,2800~3000,25
6개월,3000~3200,53
6개월,3200~3400,39
6개월,3400~3600,13
6개월,3600~3800,13
6개월,3800~4000,13
6개월,4000~5000,6
6개월,5000~6000,18
6개월,6000~7000,4
6개월,7000~8000,0
6개월,8000~,3
1년차,2400~2600,24
1년차,2600~2800,40
1년차,2800~3000,28
1년차,3000~3200,55
1년차,3200~3400,40
1년차,3400~3600,17
1년차,3600~3800,16
1년차,3800~4000,17
1년차,4000~5000,9
1년차,5000~6000,23
1년차,6000~7000,6
1년차,7000~8000,1
1년차,8000~,3
2년차,2400~2600,24
2년차,2600~2800,41
2년차,2800~3000,28
2년차,3000~3200,57
2년차,3200~3400,43
2년차,3400~3600,18
2년차,3600~3800,24
2년차,3800~4000,20
2년차,4000~5000,14
2년차,5000~6000,40
2년차,6000~7000,9
2년차,7000~8000,4
2년차,8000~,4
3년차,2400~2600,24
3년차,2600~2800,36
3년차,2800~3000,5
3년차,3000~3200,85
3년차,3200~3400,43
3년차,3400~3600,18
3년차,3600~3800,24
3년차,3800~4000,20
3년차,4000~5000,16
3년차,5000~6000,43
3년차,6000~7000,10
3년차,7000~8000,5
3년차,8000~,4
4년차,2400~2600,24
4년차,2600~2800,41
4년차,2800~3000,28
4년차,3000~3200,58
4년차,3200~3400,43
4년차,3400~3600,19
4년차,3600~3800,25
4년차,3800~4000,21
4년차,4000~5000,16
4년차,5000~6000,55
4년차,6000~7000,28
4년차,7000~8000,9
4년차,8000~,9
5년차,2400~2600,24
5년차,2600~2800,41
5년차,2800~3000,28
5년차,3000~3200,58
5년차,3200~3400,43
5년차,3400~3600,19
5년차,3600~3800,25
5년차,3800~4000,21
5년차,4000~5000,16
5년차,5000~6000,55
5년차,6000~7000,29
5년차,7000~8000,9
5년차,8000~,10
6년차,2400~2600,24
6년차,2600~2800,41
6년차,2800~3000,28
6년차,3000~3200,58
6년차,3200~3400,43
6년차,3400~3600,19
6년차,3600~3800,25
6년차,3800~4000,21
6년차,4000~5000,16
6년차,5000~6000,56
6년차,6000~7000,28
6년차,7000~8000,14
6년차,8000~,15
7년차,2400~2600,19
7년차,2600~2800,46
7년차,2800~3000,28
7년차,3000~3200,58
7년차,3200~3400,43
7년차,3400~3600,19
7년차,3600~3800,26
7년차,3800~4000,21
7년차,4000~5000,16
7년차,5000~6000,56
7년차,6000~7000,29
7년차,7000~8000,15
7년차,8000~,15
8년차,2400~2600,23
8년차,2600~2800,7
8년차,2800~3000,41
8년차,3000~3200,86
8년차,3200~3400,43
8년차,3400~3600,19
8년차,3600~3800,26
8년차,3800~4000,21
8년차,4000~5000,16
8년차,5000~6000,56
8년차,6000~7000,29
8년차,7000~8000,15
8년차,8000~,15
9년차,2400~2600,24
9년차,2600~2800,41
9년차,2800~3000,28
9년차,3000~3200,58
9년차,3200~3400,43
9년차,3400~3600,19
9년차,3600~3800,26
9년차,3800~4000,21
9년차,4000~5000,16
9년차,5000~6000,56
9년차,6000~7000,32
9년차,7000~8000,15
9년차,8000~,16
10년차,2400~2600,24
10년차,2600~2800,41
10년차,2800~3000,28
10년차,3000~3200,58
10년차,3200~3400,43
10년차,3400~3600,19
10년차,3600~3800,26
10년차,3800~4000,21
10년차,4000~5000,16
10년차,5000~6000,56
10년차,6000~7000,32
10년차,7000~8000,15
10년차,8000~,16
