지역,연봉,기업수
kyung-42,8000만 이상,0 
kyung-43,2400만 이상,2 
kyung-43,2600만 이상,2 
kyung-43,2800만 이상,2 
kyung-43,3000만 이상,1 
kyung-43,3200만 이상,1 
kyung-43,3400만 이상,1 
kyung-43,3600만 이상,1 
kyung-43,3800만 이상,0 
kyung-43,4000만 이상,0 
kyung-43,5000만 이상,0 
kyung-43,6000만 이상,0 
kyung-43,7000만 이상,0 
kyung-43,8000만 이상,0 
kyung-44,2400만 이상,0 
kyung-44,2600만 이상,0 
kyung-44,2800만 이상,0 
kyung-44,3000만 이상,0 
kyung-44,3200만 이상,0 
kyung-44,3400만 이상,0 
kyung-44,3600만 이상,0 
kyung-44,3800만 이상,0 
kyung-44,4000만 이상,0 
kyung-44,5000만 이상,0 
kyung-44,6000만 이상,0 
kyung-44,7000만 이상,0 
kyung-44,8000만 이상,0 
kyung-45,2400만 이상,6 
kyung-45,2600만 이상,6 
kyung-45,2800만 이상,4 
kyung-45,3000만 이상,4 
kyung-45,3200만 이상,4 
kyung-45,3400만 이상,3 
kyung-45,3600만 이상,3 
kyung-45,3800만 이상,0 
kyung-45,4000만 이상,0 
kyung-45,5000만 이상,0 
kyung-45,6000만 이상,0 
kyung-45,7000만 이상,0 
kyung-45,8000만 이상,0 
kyung-46,2400만 이상,0 
kyung-46,2600만 이상,0 
kyung-46,2800만 이상,0 
kyung-46,3000만 이상,0 
kyung-46,3200만 이상,0 
kyung-46,3400만 이상,0 
kyung-46,3600만 이상,0 
kyung-46,3800만 이상,0 
kyung-46,4000만 이상,0 
kyung-46,5000만 이상,0 
kyung-46,6000만 이상,0 
kyung-46,7000만 이상,0 
kyung-46,8000만 이상,0 
kyung-47,2400만 이상,4 
kyung-47,2600만 이상,3 
kyung-47,2800만 이상,2 
kyung-47,3000만 이상,2 
kyung-47,3200만 이상,2 
kyung-47,3400만 이상,2 
kyung-47,3600만 이상,2 
kyung-47,3800만 이상,2 
kyung-47,4000만 이상,2 
kyung-47,5000만 이상,2 
kyung-47,6000만 이상,0 
kyung-47,7000만 이상,0 
kyung-47,8000만 이상,0 
kyung-48,2400만 이상,3 
kyung-48,2600만 이상,3 
kyung-48,2800만 이상,3 
kyung-48,3000만 이상,3 
kyung-48,3200만 이상,1 
kyung-48,3400만 이상,1 
kyung-48,3600만 이상,1 
kyung-48,3800만 이상,1 
kyung-48,4000만 이상,1 
kyung-48,5000만 이상,1 
kyung-48,6000만 이상,0 
kyung-48,7000만 이상,0 
kyung-48,8000만 이상,0 
kyung-49,2400만 이상,1 
kyung-49,2600만 이상,1 
kyung-49,2800만 이상,1 
kyung-49,3000만 이상,1 
kyung-49,3200만 이상,1 
kyung-49,3400만 이상,1 
kyung-49,3600만 이상,1 
kyung-49,3800만 이상,0 
kyung-49,4000만 이상,0 
kyung-49,5000만 이상,0 
kyung-49,6000만 이상,0 
kyung-49,7000만 이상,0 
kyung-49,8000만 이상,0 
kyung-50,2400만 이상,7 
kyung-50,2600만 이상,5 
kyung-50,2800만 이상,4 
kyung-50,3000만 이상,3 
kyung-50,3200만 이상,3 
kyung-50,3400만 이상,3 
kyung-50,3600만 이상,3 
kyung-50,3800만 이상,3 
kyung-50,4000만 이상,3 
kyung-50,5000만 이상,3 
kyung-50,6000만 이상,0 
kyung-50,7000만 이상,0 
kyung-50,8000만 이상,0 
kyung-51,2400만 이상,8 
kyung-51,2600만 이상,8 
kyung-51,2800만 이상,5 
kyung-51,3000만 이상,5 
kyung-51,3200만 이상,5 
kyung-51,3400만 이상,5 
kyung-51,3600만 이상,5 
kyung-51,3800만 이상,5 
kyung-51,4000만 이상,2 
kyung-51,5000만 이상,2 
kyung-51,6000만 이상,1 
kyung-51,7000만 이상,1 
kyung-51,8000만 이상,1 
Incheon-1,2400만 이상,0 
Incheon-1,2600만 이상,0 
Incheon-1,2800만 이상,0 
Incheon-1,3000만 이상,0 
Incheon-1,3200만 이상,0 
Incheon-1,3400만 이상,0 
Incheon-1,3600만 이상,0 
Incheon-1,3800만 이상,0 
Incheon-1,4000만 이상,0 
Incheon-1,5000만 이상,0 
Incheon-1,6000만 이상,0 
Incheon-1,7000만 이상,0 
Incheon-1,8000만 이상,0 
Incheon-2,2400만 이상,1 
Incheon-2,2600만 이상,1 
Incheon-2,2800만 이상,1 
Incheon-2,3000만 이상,1 
Incheon-2,3200만 이상,0 
Incheon-2,3400만 이상,0 
Incheon-2,3600만 이상,0 
Incheon-2,3800만 이상,0 
Incheon-2,4000만 이상,0 
Incheon-2,5000만 이상,0 
Incheon-2,6000만 이상,0 
Incheon-2,7000만 이상,0 
Incheon-2,8000만 이상,0 
Incheon-3,2400만 이상,1 
Incheon-3,2600만 이상,1 
Incheon-3,2800만 이상,1 
Incheon-3,3000만 이상,1 
Incheon-3,3200만 이상,0 
Incheon-3,3400만 이상,0 
Incheon-3,3600만 이상,0 
Incheon-3,3800만 이상,0 
Incheon-3,4000만 이상,0 
Incheon-3,5000만 이상,0 
Incheon-3,6000만 이상,0 
Incheon-3,7000만 이상,0 
Incheon-3,8000만 이상,0 
Incheon-4,2400만 이상,0 
Incheon-4,2600만 이상,0 
Incheon-4,2800만 이상,0 
Incheon-4,3000만 이상,0 
Incheon-4,3200만 이상,0 
Incheon-4,3400만 이상,0 
Incheon-4,3600만 이상,0 
Incheon-4,3800만 이상,0 
Incheon-4,4000만 이상,0 
Incheon-4,5000만 이상,0 
Incheon-4,6000만 이상,0 
Incheon-4,7000만 이상,0 
Incheon-4,8000만 이상,0 
Incheon-5,2400만 이상,4 
Incheon-5,2600만 이상,4 
Incheon-5,2800만 이상,3 
Incheon-5,3000만 이상,3 
Incheon-5,3200만 이상,0 
Incheon-5,3400만 이상,0 
Incheon-5,3600만 이상,0 
Incheon-5,3800만 이상,0 
Incheon-5,4000만 이상,0 
Incheon-5,5000만 이상,0 
Incheon-5,6000만 이상,0 
Incheon-5,7000만 이상,0 
Incheon-5,8000만 이상,0 
Incheon-6,2400만 이상,2 
Incheon-6,2600만 이상,2 
Incheon-6,2800만 이상,1 
Incheon-6,3000만 이상,1 
Incheon-6,3200만 이상,0 
Incheon-6,3400만 이상,0 
Incheon-6,3600만 이상,0 
Incheon-6,3800만 이상,0 
Incheon-6,4000만 이상,0 
Incheon-6,5000만 이상,0 
Incheon-6,6000만 이상,0 
Incheon-6,7000만 이상,0 
Incheon-6,8000만 이상,0 
Incheon-7,2400만 이상,0 
Incheon-7,2600만 이상,0 
Incheon-7,2800만 이상,0 
Incheon-7,3000만 이상,0 
Incheon-7,3200만 이상,0 
Incheon-7,3400만 이상,0 
Incheon-7,3600만 이상,0 
Incheon-7,3800만 이상,0 
Incheon-7,4000만 이상,0 
Incheon-7,5000만 이상,0 
Incheon-7,6000만 이상,0 
Incheon-7,7000만 이상,0 
Incheon-7,8000만 이상,0 
Incheon-8,2400만 이상,3 
Incheon-8,2600만 이상,3 
Incheon-8,2800만 이상,3 
Incheon-8,3000만 이상,3 
Incheon-8,3200만 이상,3 
Incheon-8,3400만 이상,2 
Incheon-8,3600만 이상,1 
Incheon-8,3800만 이상,1 
Incheon-8,4000만 이상,1 
Incheon-8,5000만 이상,1 
Incheon-8,6000만 이상,1 
Incheon-8,7000만 이상,0 
Incheon-8,8000만 이상,0 
Incheon-9,2400만 이상,0 
Incheon-9,2600만 이상,0 
Incheon-9,2800만 이상,0 
Incheon-9,3000만 이상,0 
Incheon-9,3200만 이상,0 
Incheon-9,3400만 이상,0 
Incheon-9,3600만 이상,0 
Incheon-9,3800만 이상,0 
Incheon-9,4000만 이상,0 
Incheon-9,5000만 이상,0 
Incheon-9,6000만 이상,0 
Incheon-9,7000만 이상,0 
Incheon-9,8000만 이상,0 
Incheon-10,2400만 이상,0 
Incheon-10,2600만 이상,0 
Incheon-10,2800만 이상,0 
Incheon-10,3000만 이상,0 
Incheon-10,3200만 이상,0 
Incheon-10,3400만 이상,0 
Incheon-10,3600만 이상,0 
Incheon-10,3800만 이상,0 
Incheon-10,4000만 이상,0 
Incheon-10,5000만 이상,0 
Incheon-10,6000만 이상,0 
Incheon-10,7000만 이상,0 
Incheon-10,8000만 이상,0 
