지역,연봉,기업수
seoul-14,3400만 이상,1 
seoul-14,3600만 이상,1 
seoul-14,3800만 이상,1 
seoul-14,4000만 이상,0 
seoul-14,5000만 이상,0 
seoul-14,6000만 이상,0 
seoul-14,7000만 이상,0 
seoul-14,8000만 이상,0 
seoul-15,2400만 이상,68 
seoul-15,2600만 이상,64 
seoul-15,2800만 이상,63 
seoul-15,3000만 이상,60 
seoul-15,3200만 이상,54 
seoul-15,3400만 이상,50 
seoul-15,3600만 이상,48 
seoul-15,3800만 이상,42 
seoul-15,4000만 이상,39 
seoul-15,5000만 이상,33 
seoul-15,6000만 이상,24 
seoul-15,7000만 이상,10 
seoul-15,8000만 이상,4 
seoul-16,2400만 이상,14 
seoul-16,2600만 이상,10 
seoul-16,2800만 이상,10 
seoul-16,3000만 이상,8 
seoul-16,3200만 이상,8 
seoul-16,3400만 이상,5 
seoul-16,3600만 이상,2 
seoul-16,3800만 이상,1 
seoul-16,4000만 이상,1 
seoul-16,5000만 이상,1 
seoul-16,6000만 이상,1 
seoul-16,7000만 이상,1 
seoul-16,8000만 이상,1 
seoul-17,2400만 이상,4 
seoul-17,2600만 이상,2 
seoul-17,2800만 이상,1 
seoul-17,3000만 이상,0 
seoul-17,3200만 이상,0 
seoul-17,3400만 이상,0 
seoul-17,3600만 이상,0 
seoul-17,3800만 이상,0 
seoul-17,4000만 이상,0 
seoul-17,5000만 이상,0 
seoul-17,6000만 이상,0 
seoul-17,7000만 이상,0 
seoul-17,8000만 이상,0 
seoul-18,2400만 이상,21 
seoul-18,2600만 이상,21 
seoul-18,2800만 이상,18 
seoul-18,3000만 이상,16 
seoul-18,3200만 이상,10 
seoul-18,3400만 이상,8 
seoul-18,3600만 이상,8 
seoul-18,3800만 이상,7 
seoul-18,4000만 이상,3 
seoul-18,5000만 이상,3 
seoul-18,6000만 이상,2 
seoul-18,7000만 이상,2 
seoul-18,8000만 이상,1 
seoul-19,2400만 이상,3 
seoul-19,2600만 이상,2 
seoul-19,2800만 이상,2 
seoul-19,3000만 이상,2 
seoul-19,3200만 이상,2 
seoul-19,3400만 이상,2 
seoul-19,3600만 이상,1 
seoul-19,3800만 이상,1 
seoul-19,4000만 이상,1 
seoul-19,5000만 이상,1 
seoul-19,6000만 이상,0 
seoul-19,7000만 이상,0 
seoul-19,8000만 이상,0 
seoul-20,2400만 이상,22 
seoul-20,2600만 이상,22 
seoul-20,2800만 이상,19 
seoul-20,3000만 이상,18 
seoul-20,3200만 이상,12 
seoul-20,3400만 이상,8 
seoul-20,3600만 이상,8 
seoul-20,3800만 이상,8 
seoul-20,4000만 이상,8 
seoul-20,5000만 이상,8 
seoul-20,6000만 이상,6 
seoul-20,7000만 이상,1 
seoul-20,8000만 이상,0 
seoul-21,2400만 이상,9 
seoul-21,2600만 이상,9 
seoul-21,2800만 이상,8 
seoul-21,3000만 이상,6 
seoul-21,3200만 이상,3 
seoul-21,3400만 이상,3 
seoul-21,3600만 이상,3 
seoul-21,3800만 이상,2 
seoul-21,4000만 이상,2 
seoul-21,5000만 이상,2 
seoul-21,6000만 이상,0 
seoul-21,7000만 이상,0 
seoul-21,8000만 이상,0 
seoul-22,2400만 이상,3 
seoul-22,2600만 이상,3 
seoul-22,2800만 이상,3 
seoul-22,3000만 이상,2 
seoul-22,3200만 이상,2 
seoul-22,3400만 이상,2 
seoul-22,3600만 이상,2 
seoul-22,3800만 이상,2 
seoul-22,4000만 이상,2 
seoul-22,5000만 이상,2 
seoul-22,6000만 이상,0 
seoul-22,7000만 이상,0 
seoul-22,8000만 이상,0 
seoul-23,2400만 이상,7 
seoul-23,2600만 이상,7 
seoul-23,2800만 이상,7 
seoul-23,3000만 이상,4 
seoul-23,3200만 이상,4 
seoul-23,3400만 이상,3 
seoul-23,3600만 이상,3 
seoul-23,3800만 이상,3 
seoul-23,4000만 이상,3 
seoul-23,5000만 이상,2 
seoul-23,6000만 이상,1 
seoul-23,7000만 이상,1 
seoul-23,8000만 이상,1 
seoul-24,2400만 이상,23 
seoul-24,2600만 이상,23 
seoul-24,2800만 이상,19 
seoul-24,3000만 이상,17 
seoul-24,3200만 이상,16 
seoul-24,3400만 이상,14 
seoul-24,3600만 이상,14 
seoul-24,3800만 이상,11 
seoul-24,4000만 이상,9 
seoul-24,5000만 이상,9 
seoul-24,6000만 이상,8 
seoul-24,7000만 이상,7 
seoul-24,8000만 이상,4 
seoul-25,2400만 이상,3 
seoul-25,2600만 이상,3 
seoul-25,2800만 이상,3 
seoul-25,3000만 이상,2 
seoul-25,3200만 이상,2 
seoul-25,3400만 이상,0 
seoul-25,3600만 이상,0 
seoul-25,3800만 이상,0 
seoul-25,4000만 이상,0 
seoul-25,5000만 이상,0 
seoul-25,6000만 이상,0 
seoul-25,7000만 이상,0 
seoul-25,8000만 이상,0 
kyung-1,2400만 이상,1 
kyung-1,2600만 이상,1 
kyung-1,2800만 이상,1 
kyung-1,3000만 이상,1 
kyung-1,3200만 이상,0 
kyung-1,3400만 이상,0 
kyung-1,3600만 이상,0 
kyung-1,3800만 이상,0 
kyung-1,4000만 이상,0 
kyung-1,5000만 이상,0 
kyung-1,6000만 이상,0 
kyung-1,7000만 이상,0 
kyung-1,8000만 이상,0 
kyung-2,2400만 이상,17 
kyung-2,2600만 이상,16 
kyung-2,2800만 이상,12 
kyung-2,3000만 이상,12 
kyung-2,3200만 이상,9 
kyung-2,3400만 이상,3 
kyung-2,3600만 이상,3 
kyung-2,3800만 이상,2 
kyung-2,4000만 이상,2 
kyung-2,5000만 이상,2 
kyung-2,6000만 이상,0 
kyung-2,7000만 이상,0 
kyung-2,8000만 이상,0 
kyung-3,2400만 이상,0 
kyung-3,2600만 이상,0 
kyung-3,2800만 이상,0 
kyung-3,3000만 이상,0 
kyung-3,3200만 이상,0 
kyung-3,3400만 이상,0 
kyung-3,3600만 이상,0 
kyung-3,3800만 이상,0 
kyung-3,4000만 이상,0 
kyung-3,5000만 이상,0 
kyung-3,6000만 이상,0 
kyung-3,7000만 이상,0 
kyung-3,8000만 이상,0 
kyung-4,2400만 이상,8 
kyung-4,2600만 이상,8 
kyung-4,2800만 이상,5 
kyung-4,3000만 이상,5 
kyung-4,3200만 이상,4 
kyung-4,3400만 이상,2 
kyung-4,3600만 이상,2 
kyung-4,3800만 이상,2 
kyung-4,4000만 이상,2 
kyung-4,5000만 이상,2 
kyung-4,6000만 이상,0 
kyung-4,7000만 이상,0 
kyung-4,8000만 이상,0 
kyung-5,2400만 이상,3 
kyung-5,2600만 이상,3 
kyung-5,2800만 이상,2 
kyung-5,3000만 이상,2 
kyung-5,3200만 이상,2 
kyung-5,3400만 이상,2 
