경력,기업형태,복리후생,기업수
6개월,중소기업,B8,186 
6개월,중소기업,B9,147 
6개월,중소기업,B10,194 
6개월,중소기업,B11,227 
6개월,중소기업,B12,97 
6개월,중소기업,B13,37 
6개월,중소기업,B14,87 
6개월,중소기업,B15,2 
6개월,중소기업,B16,32 
6개월,중소기업,B17,1297 
6개월,중소기업,C1,729 
6개월,중소기업,C2,103 
6개월,중소기업,C3,492 
6개월,중소기업,C4,28 
6개월,중소기업,C5,69 
6개월,중소기업,C6,52 
6개월,중소기업,C7,36 
6개월,중소기업,C8,42 
6개월,중소기업,C9,85 
6개월,중소기업,C10,93 
6개월,중소기업,D1,184 
6개월,중소기업,D2,252 
6개월,중소기업,D3,631 
6개월,중소기업,D4,146 
6개월,중소기업,D5,366 
6개월,중소기업,D6,303 
6개월,중소기업,D7,100 
6개월,중소기업,D8,25 
6개월,중소기업,D9,383 
6개월,중소기업,D10,5 
6개월,중소기업,D11,81 
6개월,중소기업,D12,46 
6개월,중소기업,D13,20 
6개월,중소기업,D14,100 
6개월,중소기업,D15,298 
6개월,중소기업,D16,205 
6개월,중소기업,D17,164 
6개월,중소기업,D18,417 
6개월,중소기업,D19,388 
6개월,중소기업,D20,210 
6개월,중소기업,D21,77 
6개월,중소기업,D22,65 
6개월,중소기업,D23,336 
6개월,중소기업,D24,227 
6개월,중소기업,D25,742 
6개월,중소기업,D26,7 
6개월,중소기업,D27,29 
6개월,중소기업,D28,28 
6개월,중소기업,D29,16 
6개월,중소기업,D30,1 
6개월,중소기업,D31,13 
6개월,중소기업,D32,26 
6개월,중소기업,D33,7 
6개월,중소기업,E1,22 
6개월,중소기업,E2,6 
6개월,중소기업,E3,451 
6개월,중소기업,E4,99 
6개월,중소기업,E5,703 
6개월,중소기업,E6,379 
6개월,중소기업,E7,337 
6개월,중소기업,E8,56 
6개월,중소기업,E9,84 
6개월,중소기업,E10,85 
6개월,중소기업,E11,17 
6개월,중소기업,E12,20 
6개월,중소기업,E13,13 
6개월,중소기업,E14,36 
6개월,중소기업,E15,33 
6개월,중소기업,E16,20 
6개월,중소기업,E17,23 
6개월,중소기업,E18,46 
6개월,중소기업,E19,59 
6개월,중소기업,E20,16 
6개월,중소기업,E21,288 
6개월,중소기업,E22,227 
6개월,중소기업,E23,138 
6개월,중소기업,E24,62 
6개월,중소기업,E25,27 
6개월,중소기업,E26,494 
6개월,중소기업,E27,126 
6개월,중소기업,E28,62 
6개월,중소기업,E29,5 
6개월,중소기업,E30,12 
6개월,중소기업,F1,7 
6개월,중소기업,F2,45 
6개월,중소기업,F3,322 
6개월,중소기업,F4,599 
6개월,중소기업,F5,487 
6개월,중소기업,F6,754 
6개월,중소기업,F7,49 
6개월,중소기업,F8,264 
6개월,중소기업,F9,100 
6개월,중소기업,F10,20 
6개월,중소기업,F11,44 
6개월,중소기업,F12,11 
6개월,중소기업,F13,50 
6개월,중소기업,F14,9 
6개월,중소기업,G1,76 
6개월,중소기업,G2,84 
6개월,중소기업,G3,42 
6개월,중소기업,G4,9 
6개월,중소기업,G5,4 
6개월,중소기업,G6,14 
6개월,중소기업,G7,261 
6개월,중소기업,G8,173 
6개월,중소기업,G9,73 
6개월,중소기업,G10,140 
6개월,중소기업,G11,152 
6개월,중소기업,G12,3 
6개월,중소기업,G13,4 
6개월,중소기업,G14,9 
6개월,중소기업,G15,27 
6개월,중소기업,G16,87 
6개월,중소기업,G17,88 
6개월,중소기업,G18,8 
6개월,중소기업,G19,0 
6개월,중소기업,G20,21 
6개월,중소기업,H1,999 
6개월,중소기업,H2,348 
6개월,중소기업,H3,549 
6개월,중소기업,H4,577 
6개월,중소기업,H5,149 
6개월,중소기업,H6,116 
6개월,중소기업,H7,600 
6개월,중소기업,H8,87 
6개월,중소기업,H9,156 
6개월,중소기업,H10,299 
6개월,중소기업,H11,340 
6개월,중소기업,H12,166 
6개월,중소기업,H13,95 
6개월,중소기업,H14,48 
6개월,중소기업,H15,41 
6개월,중소기업,H16,35 
6개월,스타트업,A1,58 
6개월,스타트업,A2,8 
6개월,스타트업,A3,0 
6개월,스타트업,A4,1 
6개월,스타트업,A5,42 
6개월,스타트업,A6,3 
6개월,스타트업,A7,3 
6개월,스타트업,A8,3 
6개월,스타트업,A9,6 
6개월,스타트업,A10,0 
6개월,스타트업,A11,0 
6개월,스타트업,A12,15 
6개월,스타트업,A13,4 
6개월,스타트업,A14,3 
6개월,스타트업,A15,0 
6개월,스타트업,A16,0 
6개월,스타트업,A17,7 
6개월,스타트업,A18,7 
6개월,스타트업,A19,0 
6개월,스타트업,A20,2 
6개월,스타트업,A21,0 
6개월,스타트업,A22,0 
6개월,스타트업,B1,28 
6개월,스타트업,B2,50 
6개월,스타트업,B3,11 
6개월,스타트업,B4,38 
6개월,스타트업,B5,39 
6개월,스타트업,B6,44 
6개월,스타트업,B7,76 
6개월,스타트업,B8,11 
6개월,스타트업,B9,5 
6개월,스타트업,B10,6 
6개월,스타트업,B11,23 
6개월,스타트업,B12,0 
6개월,스타트업,B13,1 
6개월,스타트업,B14,3 
6개월,스타트업,B15,0 
6개월,스타트업,B16,3 
6개월,스타트업,B17,133 
6개월,스타트업,C1,75 
6개월,스타트업,C2,4 
6개월,스타트업,C3,63 
6개월,스타트업,C4,1 
6개월,스타트업,C5,1 
6개월,스타트업,C6,11 
6개월,스타트업,C7,3 
6개월,스타트업,C8,7 
6개월,스타트업,C9,14 
6개월,스타트업,C10,11 
6개월,스타트업,D1,18 
6개월,스타트업,D2,10 
6개월,스타트업,D3,84 
6개월,스타트업,D4,15 
6개월,스타트업,D5,34 
6개월,스타트업,D6,26 
6개월,스타트업,D7,3 
6개월,스타트업,D8,1 
6개월,스타트업,D9,74 
6개월,스타트업,D10,0 
6개월,스타트업,D11,13 
6개월,스타트업,D12,4 
6개월,스타트업,D13,0 
6개월,스타트업,D14,5 
6개월,스타트업,D15,52 
6개월,스타트업,D16,35 
6개월,스타트업,D17,12 
6개월,스타트업,D18,36 
6개월,스타트업,D19,74 
6개월,스타트업,D20,22 
6개월,스타트업,D21,4 
6개월,스타트업,D22,1 
6개월,스타트업,D23,47 
6개월,스타트업,D24,22 
6개월,스타트업,D25,92 
6개월,스타트업,D26,0 
6개월,스타트업,D27,7 
6개월,스타트업,D28,2 
6개월,스타트업,D29,3 
6개월,스타트업,D30,0 
6개월,스타트업,D31,2 
6개월,스타트업,D32,5 
6개월,스타트업,D33,0 
6개월,스타트업,E1,0 
6개월,스타트업,E2,0 
6개월,스타트업,E3,56 
6개월,스타트업,E4,9 
6개월,스타트업,E5,78 
6개월,스타트업,E6,45 
6개월,스타트업,E7,44 
6개월,스타트업,E8,5 
6개월,스타트업,E9,5 
6개월,스타트업,E10,12 
6개월,스타트업,E11,1 
6개월,스타트업,E12,1 
6개월,스타트업,E13,0 
6개월,스타트업,E14,0 
6개월,스타트업,E15,0 
6개월,스타트업,E16,1 
6개월,스타트업,E17,1 
6개월,스타트업,E18,2 
6개월,스타트업,E19,3 
6개월,스타트업,E20,4 
6개월,스타트업,E21,53 
6개월,스타트업,E22,19 
6개월,스타트업,E23,13 
6개월,스타트업,E24,4 
6개월,스타트업,E25,5 
6개월,스타트업,E26,45 
6개월,스타트업,E27,20 
6개월,스타트업,E28,6 
6개월,스타트업,E29,0 
6개월,스타트업,E30,0 
6개월,스타트업,F1,3 
6개월,스타트업,F2,5 
6개월,스타트업,F3,56 
6개월,스타트업,F4,85 
6개월,스타트업,F5,64 
6개월,스타트업,F6,113 
6개월,스타트업,F7,0 
6개월,스타트업,F8,36 
6개월,스타트업,F9,21 
6개월,스타트업,F10,2 
6개월,스타트업,F11,1 
6개월,스타트업,F12,3 
6개월,스타트업,F13,5 
6개월,스타트업,F14,0 
6개월,스타트업,G1,0 
6개월,스타트업,G2,9 
6개월,스타트업,G3,0 
6개월,스타트업,G4,0 
6개월,스타트업,G5,1 
6개월,스타트업,G6,0 
6개월,스타트업,G7,42 
6개월,스타트업,G8,9 
6개월,스타트업,G9,3 
6개월,스타트업,G10,6 
6개월,스타트업,G11,23 
6개월,스타트업,G12,0 
6개월,스타트업,G13,0 
6개월,스타트업,G14,0 
6개월,스타트업,G15,2 
6개월,스타트업,G16,6 
6개월,스타트업,G17,12 
6개월,스타트업,G18,0 
6개월,스타트업,G19,0 
6개월,스타트업,G20,4 
6개월,스타트업,H1,115 
6개월,스타트업,H2,28 
6개월,스타트업,H3,61 
6개월,스타트업,H4,71 
6개월,스타트업,H5,32 
6개월,스타트업,H6,18 
6개월,스타트업,H7,73 
6개월,스타트업,H8,8 
6개월,스타트업,H9,24 
6개월,스타트업,H10,27 
6개월,스타트업,H11,24 
6개월,스타트업,H12,9 
6개월,스타트업,H13,5 
6개월,스타트업,H14,2 
6개월,스타트업,H15,4 
6개월,스타트업,H16,3 
6개월,외국계(법인/투자),A1,68 
6개월,외국계(법인/투자),A2,19 
6개월,외국계(법인/투자),A3,0 
6개월,외국계(법인/투자),A4,14 
6개월,외국계(법인/투자),A5,64 
6개월,외국계(법인/투자),A6,24 
6개월,외국계(법인/투자),A7,7 
6개월,외국계(법인/투자),A8,5 
6개월,외국계(법인/투자),A9,6 
6개월,외국계(법인/투자),A10,0 
6개월,외국계(법인/투자),A11,1 
6개월,외국계(법인/투자),A12,3 
6개월,외국계(법인/투자),A13,4 
6개월,외국계(법인/투자),A14,18 
6개월,외국계(법인/투자),A15,3 
6개월,외국계(법인/투자),A16,4 
6개월,외국계(법인/투자),A17,13 
6개월,외국계(법인/투자),A18,4 
6개월,외국계(법인/투자),A19,0 
6개월,외국계(법인/투자),A20,1 
6개월,외국계(법인/투자),A21,20 
6개월,외국계(법인/투자),A22,0 
6개월,외국계(법인/투자),B1,36 
6개월,외국계(법인/투자),B2,47 
6개월,외국계(법인/투자),B3,21 
6개월,외국계(법인/투자),B4,47 
6개월,외국계(법인/투자),B5,41 
6개월,외국계(법인/투자),B6,7 
6개월,외국계(법인/투자),B7,66 
6개월,외국계(법인/투자),B8,8 
6개월,외국계(법인/투자),B9,20 
6개월,외국계(법인/투자),B10,16 
6개월,외국계(법인/투자),B11,20 
6개월,외국계(법인/투자),B12,10 
6개월,외국계(법인/투자),B13,11 
6개월,외국계(법인/투자),B14,13 
6개월,외국계(법인/투자),B15,0 
6개월,외국계(법인/투자),B16,8 
6개월,외국계(법인/투자),B17,80 
6개월,외국계(법인/투자),C1,48 
6개월,외국계(법인/투자),C2,11 
6개월,외국계(법인/투자),C3,41 
6개월,외국계(법인/투자),C4,1 
6개월,외국계(법인/투자),C5,5 
6개월,외국계(법인/투자),C6,1 
6개월,외국계(법인/투자),C7,6 
6개월,외국계(법인/투자),C8,7 
6개월,외국계(법인/투자),C9,2 
6개월,외국계(법인/투자),C10,1 
6개월,외국계(법인/투자),D1,12 
6개월,외국계(법인/투자),D2,16 
6개월,외국계(법인/투자),D3,37 
6개월,외국계(법인/투자),D4,10 
6개월,외국계(법인/투자),D5,39 
6개월,외국계(법인/투자),D6,36 
6개월,외국계(법인/투자),D7,26 
6개월,외국계(법인/투자),D8,13 
6개월,외국계(법인/투자),D9,23 
6개월,외국계(법인/투자),D10,0 
6개월,외국계(법인/투자),D11,13 
6개월,외국계(법인/투자),D12,19 
6개월,외국계(법인/투자),D13,12 
6개월,외국계(법인/투자),D14,4 
6개월,외국계(법인/투자),D15,25 
6개월,외국계(법인/투자),D16,23 
6개월,외국계(법인/투자),D17,24 
6개월,외국계(법인/투자),D18,17 
6개월,외국계(법인/투자),D19,23 
6개월,외국계(법인/투자),D20,42 
6개월,외국계(법인/투자),D21,12 
6개월,외국계(법인/투자),D22,8 
6개월,외국계(법인/투자),D23,7 
6개월,외국계(법인/투자),D24,14 
6개월,외국계(법인/투자),D25,50 
6개월,외국계(법인/투자),D26,8 
6개월,외국계(법인/투자),D27,5 
6개월,외국계(법인/투자),D28,1 
6개월,외국계(법인/투자),D29,0 
6개월,외국계(법인/투자),D30,0 
6개월,외국계(법인/투자),D31,5 
6개월,외국계(법인/투자),D32,1 
6개월,외국계(법인/투자),D33,0 
6개월,외국계(법인/투자),E1,12 
6개월,외국계(법인/투자),E2,3 
6개월,외국계(법인/투자),E3,40 
6개월,외국계(법인/투자),E4,10 
6개월,외국계(법인/투자),E5,52 
6개월,외국계(법인/투자),E6,26 
6개월,외국계(법인/투자),E7,29 
6개월,외국계(법인/투자),E8,5 
6개월,외국계(법인/투자),E9,11 
6개월,외국계(법인/투자),E10,11 
6개월,외국계(법인/투자),E11,1 
6개월,외국계(법인/투자),E12,2 
6개월,외국계(법인/투자),E13,1 
6개월,외국계(법인/투자),E14,8 
6개월,외국계(법인/투자),E15,6 
6개월,외국계(법인/투자),E16,0 
6개월,외국계(법인/투자),E17,1 
6개월,외국계(법인/투자),E18,5 
6개월,외국계(법인/투자),E19,4 
6개월,외국계(법인/투자),E20,0 
6개월,외국계(법인/투자),E21,29 
6개월,외국계(법인/투자),E22,23 
6개월,외국계(법인/투자),E23,6 
6개월,외국계(법인/투자),E24,10 
6개월,외국계(법인/투자),E25,1 
6개월,외국계(법인/투자),E26,31 
6개월,외국계(법인/투자),E27,2 
6개월,외국계(법인/투자),E28,3 
6개월,외국계(법인/투자),E29,1 
6개월,외국계(법인/투자),E30,0 
6개월,외국계(법인/투자),F1,0 
6개월,외국계(법인/투자),F2,11 
6개월,외국계(법인/투자),F3,24 
6개월,외국계(법인/투자),F4,31 
6개월,외국계(법인/투자),F5,27 
6개월,외국계(법인/투자),F6,50 
6개월,외국계(법인/투자),F7,13 
6개월,외국계(법인/투자),F8,13 
6개월,외국계(법인/투자),F9,6 
6개월,외국계(법인/투자),F10,2 
6개월,외국계(법인/투자),F11,2 
6개월,외국계(법인/투자),F12,0 
6개월,외국계(법인/투자),F13,0 
6개월,외국계(법인/투자),F14,0 
6개월,외국계(법인/투자),G1,6 
6개월,외국계(법인/투자),G2,13 
6개월,외국계(법인/투자),G3,15 
6개월,외국계(법인/투자),G4,0 
6개월,외국계(법인/투자),G5,1 
6개월,외국계(법인/투자),G6,4 
6개월,외국계(법인/투자),G7,30 
6개월,외국계(법인/투자),G8,15 
6개월,외국계(법인/투자),G9,2 
6개월,외국계(법인/투자),G10,11 
6개월,외국계(법인/투자),G11,8 
6개월,외국계(법인/투자),G12,0 
6개월,외국계(법인/투자),G13,0 
6개월,외국계(법인/투자),G14,2 
6개월,외국계(법인/투자),G15,0 
6개월,외국계(법인/투자),G16,7 
6개월,외국계(법인/투자),G17,1 
6개월,외국계(법인/투자),G18,0 
6개월,외국계(법인/투자),G19,0 
6개월,외국계(법인/투자),G20,0 
6개월,외국계(법인/투자),H1,69 
6개월,외국계(법인/투자),H2,14 
6개월,외국계(법인/투자),H3,54 
6개월,외국계(법인/투자),H4,40 
6개월,외국계(법인/투자),H5,9 
6개월,외국계(법인/투자),H6,19 
6개월,외국계(법인/투자),H7,52 
6개월,외국계(법인/투자),H8,5 
6개월,외국계(법인/투자),H9,13 
6개월,외국계(법인/투자),H10,49 
6개월,외국계(법인/투자),H11,46 
6개월,외국계(법인/투자),H12,25 
6개월,외국계(법인/투자),H13,14 
6개월,외국계(법인/투자),H14,15 
6개월,외국계(법인/투자),H15,3 
6개월,외국계(법인/투자),H16,2 
6개월,금융기관,A1,2 
6개월,금융기관,A2,0 
6개월,금융기관,A3,0 
6개월,금융기관,A4,1 
6개월,금융기관,A5,2 
6개월,금융기관,A6,0 
6개월,금융기관,A7,0 
6개월,금융기관,A8,0 
6개월,금융기관,A9,0 
6개월,금융기관,A10,0 
6개월,금융기관,A11,0 
6개월,금융기관,A12,0 
6개월,금융기관,A13,0 
6개월,금융기관,A14,0 
6개월,금융기관,A15,0 
6개월,금융기관,A16,0 
6개월,금융기관,A17,0 
6개월,금융기관,A18,0 
6개월,금융기관,A19,0 
6개월,금융기관,A20,0 
6개월,금융기관,A21,0 
6개월,금융기관,A22,0 
6개월,금융기관,B1,2 
6개월,금융기관,B2,2 
6개월,금융기관,B3,3 
6개월,금융기관,B4,5 
6개월,금융기관,B5,4 
6개월,금융기관,B6,0 
6개월,금융기관,B7,3 
6개월,금융기관,B8,0 
6개월,금융기관,B9,0 
6개월,금융기관,B10,0 
6개월,금융기관,B11,1 
6개월,금융기관,B12,2 
6개월,금융기관,B13,0 
6개월,금융기관,B14,2 
6개월,금융기관,B15,0 
6개월,금융기관,B16,0 
6개월,금융기관,B17,3 
6개월,금융기관,C1,2 
6개월,금융기관,C2,1 
6개월,금융기관,C3,0 
6개월,금융기관,C4,0 
6개월,금융기관,C5,0 
6개월,금융기관,C6,0 
6개월,금융기관,C7,0 
6개월,금융기관,C8,0 
6개월,금융기관,C9,1 
6개월,금융기관,C10,0 
6개월,금융기관,D1,1 
6개월,금융기관,D2,3 
6개월,금융기관,D3,4 
6개월,금융기관,D4,0 
6개월,금융기관,D5,4 
6개월,금융기관,D6,3 
6개월,금융기관,D7,2 
6개월,금융기관,D8,1 
6개월,금융기관,D9,0 
6개월,금융기관,D10,0 
6개월,금융기관,D11,3 
6개월,금융기관,D12,0 
6개월,금융기관,D13,2 
6개월,금융기관,D14,1 
6개월,금융기관,D15,1 
6개월,금융기관,D16,1 
6개월,금융기관,D17,0 
6개월,금융기관,D18,0 
6개월,금융기관,D19,0 
6개월,금융기관,D20,2 
6개월,금융기관,D21,0 
6개월,금융기관,D22,0 
6개월,금융기관,D23,1 
6개월,금융기관,D24,0 
6개월,금융기관,D25,1 
6개월,금융기관,D26,0 
6개월,금융기관,D27,0 
6개월,금융기관,D28,0 
6개월,금융기관,D29,0 
6개월,금융기관,D30,0 
6개월,금융기관,D31,0 
6개월,금융기관,D32,0 
6개월,금융기관,D33,1 
6개월,금융기관,E1,1 
6개월,금융기관,E2,0 
6개월,금융기관,E3,1 
6개월,금융기관,E4,0 
6개월,금융기관,E5,5 
6개월,금융기관,E6,2 
6개월,금융기관,E7,4 
6개월,금융기관,E8,0 
6개월,금융기관,E9,1 
6개월,금융기관,E10,1 
6개월,금융기관,E11,0 
6개월,금융기관,E12,0 
6개월,금융기관,E13,0 
6개월,금융기관,E14,0 
6개월,금융기관,E15,0 
6개월,금융기관,E16,0 
6개월,금융기관,E17,0 
6개월,금융기관,E18,0 
6개월,금융기관,E19,0 
6개월,금융기관,E20,0 
6개월,금융기관,E21,1 
6개월,금융기관,E22,3 
6개월,금융기관,E23,2 
6개월,금융기관,E24,0 
6개월,금융기관,E25,1 
6개월,금융기관,E26,4 
6개월,금융기관,E27,0 
6개월,금융기관,E28,1 
6개월,금융기관,E29,0 
6개월,금융기관,E30,0 
6개월,금융기관,F1,0 
6개월,금융기관,F2,0 
6개월,금융기관,F3,1 
6개월,금융기관,F4,2 
6개월,금융기관,F5,1 
6개월,금융기관,F6,1 
6개월,금융기관,F7,0 
6개월,금융기관,F8,0 
6개월,금융기관,F9,0 
6개월,금융기관,F10,0 
6개월,금융기관,F11,0 
6개월,금융기관,F12,0 
6개월,금융기관,F13,0 
6개월,금융기관,F14,0 
6개월,금융기관,G1,0 
6개월,금융기관,G2,0 
6개월,금융기관,G3,0 
6개월,금융기관,G4,0 
6개월,금융기관,G5,0 
6개월,금융기관,G6,0 
6개월,금융기관,G7,0 
6개월,금융기관,G8,1 
6개월,금융기관,G9,0 
6개월,금융기관,G10,0 
6개월,금융기관,G11,1 
6개월,금융기관,G12,0 
6개월,금융기관,G13,0 
6개월,금융기관,G14,0 
6개월,금융기관,G15,0 
6개월,금융기관,G16,1 
6개월,금융기관,G17,0 
6개월,금융기관,G18,0 
6개월,금융기관,G19,0 
6개월,금융기관,G20,0 
6개월,금융기관,H1,3 
6개월,금융기관,H2,2 
6개월,금융기관,H3,2 
6개월,금융기관,H4,2 
6개월,금융기관,H5,0 
6개월,금융기관,H6,0 
6개월,금융기관,H7,5 
6개월,금융기관,H8,2 
6개월,금융기관,H9,0 
6개월,금융기관,H10,3 
6개월,금융기관,H11,2 
6개월,금융기관,H12,1 
6개월,금융기관,H13,0 
6개월,금융기관,H14,0 
6개월,금융기관,H15,0 
6개월,금융기관,H16,0 
6개월,공기업,A1,7 
6개월,공기업,A2,5 
6개월,공기업,A3,0 
6개월,공기업,A4,0 
6개월,공기업,A5,0 
6개월,공기업,A6,0 
6개월,공기업,A7,1 
6개월,공기업,A8,1 
6개월,공기업,A9,0 
6개월,공기업,A10,2 
6개월,공기업,A11,1 
6개월,공기업,A12,0 
6개월,공기업,A13,0 
6개월,공기업,A14,0 
6개월,공기업,A15,0 
6개월,공기업,A16,0 
6개월,공기업,A17,2 
6개월,공기업,A18,1 
6개월,공기업,A19,0 
6개월,공기업,A20,0 
6개월,공기업,A21,0 
6개월,공기업,A22,0 
6개월,공기업,B1,1 
6개월,공기업,B2,1 
6개월,공기업,B3,0 
6개월,공기업,B4,0 
6개월,공기업,B5,2 
6개월,공기업,B6,1 
6개월,공기업,B7,10 
6개월,공기업,B8,0 
6개월,공기업,B9,3 
6개월,공기업,B10,2 
6개월,공기업,B11,1 
6개월,공기업,B12,0 
6개월,공기업,B13,1 
6개월,공기업,B14,1 
6개월,공기업,B15,0 
6개월,공기업,B16,0 
6개월,공기업,B17,12 
6개월,공기업,C1,7 
6개월,공기업,C2,3 
6개월,공기업,C3,1 
6개월,공기업,C4,0 
6개월,공기업,C5,0 
6개월,공기업,C6,0 
6개월,공기업,C7,0 
6개월,공기업,C8,0 
6개월,공기업,C9,0 
6개월,공기업,C10,0 
6개월,공기업,D1,3 
6개월,공기업,D2,0 
6개월,공기업,D3,1 
6개월,공기업,D4,1 
6개월,공기업,D5,0 
6개월,공기업,D6,0 
6개월,공기업,D7,0 
6개월,공기업,D8,0 
6개월,공기업,D9,0 
6개월,공기업,D10,0 
6개월,공기업,D11,0 
6개월,공기업,D12,0 
6개월,공기업,D13,2 
6개월,공기업,D14,0 
6개월,공기업,D15,0 
6개월,공기업,D16,0 
6개월,공기업,D17,8 
6개월,공기업,D18,1 
6개월,공기업,D19,1 
6개월,공기업,D20,4 
6개월,공기업,D21,0 
6개월,공기업,D22,1 
6개월,공기업,D23,0 
6개월,공기업,D24,0 
6개월,공기업,D25,3 
6개월,공기업,D26,0 
6개월,공기업,D27,0 
6개월,공기업,D28,0 
6개월,공기업,D29,0 
6개월,공기업,D30,0 
6개월,공기업,D31,0 
6개월,공기업,D32,0 
6개월,공기업,D33,1 
6개월,공기업,E1,1 
6개월,공기업,E2,4 
6개월,공기업,E3,3 
6개월,공기업,E4,0 
6개월,공기업,E5,5 
6개월,공기업,E6,1 
6개월,공기업,E7,2 
6개월,공기업,E8,0 
6개월,공기업,E9,1 
6개월,공기업,E10,2 
6개월,공기업,E11,3 
6개월,공기업,E12,2 
6개월,공기업,E13,1 
6개월,공기업,E14,3 
6개월,공기업,E15,3 
6개월,공기업,E16,0 
6개월,공기업,E17,0 
6개월,공기업,E18,2 
6개월,공기업,E19,1 
6개월,공기업,E20,0 
6개월,공기업,E21,0 
6개월,공기업,E22,4 
6개월,공기업,E23,0 
6개월,공기업,E24,1 
6개월,공기업,E25,0 
6개월,공기업,E26,5 
6개월,공기업,E27,0 
6개월,공기업,E28,0 
6개월,공기업,E29,0 
6개월,공기업,E30,0 
6개월,공기업,F1,0 
6개월,공기업,F2,0 
6개월,공기업,F3,0 
6개월,공기업,F4,4 
6개월,공기업,F5,6 
6개월,공기업,F6,7 
6개월,공기업,F7,0 
6개월,공기업,F8,1 
6개월,공기업,F9,0 
6개월,공기업,F10,0 
6개월,공기업,F11,0 
6개월,공기업,F12,0 
6개월,공기업,F13,0 
6개월,공기업,F14,0 
6개월,공기업,G1,0 
6개월,공기업,G2,1 
6개월,공기업,G3,7 
6개월,공기업,G4,0 
6개월,공기업,G5,0 
6개월,공기업,G6,0 
6개월,공기업,G7,0 
6개월,공기업,G8,2 
6개월,공기업,G9,1 
6개월,공기업,G10,1 
6개월,공기업,G11,1 
6개월,공기업,G12,0 
6개월,공기업,G13,0 
6개월,공기업,G14,0 
6개월,공기업,G15,0 
6개월,공기업,G16,0 
6개월,공기업,G17,1 
6개월,공기업,G18,0 
6개월,공기업,G19,0 
6개월,공기업,G20,0 
6개월,공기업,H1,8 
6개월,공기업,H2,3 
6개월,공기업,H3,3 
6개월,공기업,H4,6 
6개월,공기업,H5,0 
6개월,공기업,H6,4 
6개월,공기업,H7,6 
6개월,공기업,H8,0 
6개월,공기업,H9,2 
6개월,공기업,H10,3 
6개월,공기업,H11,3 
6개월,공기업,H12,0 
6개월,공기업,H13,0 
6개월,공기업,H14,1 
6개월,공기업,H15,0 
6개월,공기업,H16,2 
6개월,교육기관,A1,1 
6개월,교육기관,A2,0 
6개월,교육기관,A3,0 
6개월,교육기관,A4,1 
6개월,교육기관,A5,5 
6개월,교육기관,A6,0 
6개월,교육기관,A7,0 
6개월,교육기관,A8,0 
6개월,교육기관,A9,0 
6개월,교육기관,A10,0 
6개월,교육기관,A11,0 
6개월,교육기관,A12,0 
6개월,교육기관,A13,0 
6개월,교육기관,A14,0 
6개월,교육기관,A15,0 
6개월,교육기관,A16,0 
6개월,교육기관,A17,0 
6개월,교육기관,A18,0 
6개월,교육기관,A19,0 
6개월,교육기관,A20,0 
6개월,교육기관,A21,0 
6개월,교육기관,A22,0 
6개월,교육기관,B1,3 
6개월,교육기관,B2,5 
6개월,교육기관,B3,3 
6개월,교육기관,B4,6 
6개월,교육기관,B5,5 
6개월,교육기관,B6,2 
6개월,교육기관,B7,8 
6개월,교육기관,B8,2 
6개월,교육기관,B9,0 
6개월,교육기관,B10,0 
6개월,교육기관,B11,3 
6개월,교육기관,B12,0 
6개월,교육기관,B13,0 
6개월,교육기관,B14,2 
6개월,교육기관,B15,0 
6개월,교육기관,B16,0 
6개월,교육기관,B17,13 
6개월,교육기관,C1,8 
6개월,교육기관,C2,0 
6개월,교육기관,C3,8 
6개월,교육기관,C4,0 
6개월,교육기관,C5,0 
6개월,교육기관,C6,0 
6개월,교육기관,C7,0 
6개월,교육기관,C8,0 
6개월,교육기관,C9,0 
6개월,교육기관,C10,2 
6개월,교육기관,D1,1 
6개월,교육기관,D2,3 
6개월,교육기관,D3,8 
6개월,교육기관,D4,4 
6개월,교육기관,D5,7 
6개월,교육기관,D6,5 
6개월,교육기관,D7,0 
6개월,교육기관,D8,0 
6개월,교육기관,D9,4 
6개월,교육기관,D10,0 
6개월,교육기관,D11,1 
6개월,교육기관,D12,2 
6개월,교육기관,D13,0 
6개월,교육기관,D14,2 
6개월,교육기관,D15,3 
6개월,교육기관,D16,4 
6개월,교육기관,D17,1 
6개월,교육기관,D18,0 
6개월,교육기관,D19,2 
6개월,교육기관,D20,2 
6개월,교육기관,D21,0 
6개월,교육기관,D22,0 
6개월,교육기관,D23,1 
6개월,교육기관,D24,0 
6개월,교육기관,D25,3 
6개월,교육기관,D26,0 
6개월,교육기관,D27,0 
6개월,교육기관,D28,0 
6개월,교육기관,D29,0 
6개월,교육기관,D30,0 
6개월,교육기관,D31,0 
6개월,교육기관,D32,0 
6개월,교육기관,D33,0 
6개월,교육기관,E1,0 
6개월,교육기관,E2,0 
6개월,교육기관,E3,7 
6개월,교육기관,E4,0 
6개월,교육기관,E5,7 
6개월,교육기관,E6,3 
6개월,교육기관,E7,2 
6개월,교육기관,E8,0 
6개월,교육기관,E9,2 
6개월,교육기관,E10,0 
6개월,교육기관,E11,0 
6개월,교육기관,E12,0 
6개월,교육기관,E13,0 
6개월,교육기관,E14,0 
6개월,교육기관,E15,0 
6개월,교육기관,E16,0 
6개월,교육기관,E17,0 
6개월,교육기관,E18,0 
6개월,교육기관,E19,0 
6개월,교육기관,E20,0 
6개월,교육기관,E21,0 
6개월,교육기관,E22,3 
6개월,교육기관,E23,0 
6개월,교육기관,E24,0 
6개월,교육기관,E25,0 
